bitLength,rule,step,hexInitBits
100,0,100,7c9a4f2b1d3e856402fc7b9e3
100,1,100,7c9a4f2b1d3e856402fc7b9e3
100,2,100,7c9a4f2b1d3e856402fc7b9e3
100,3,100,7c9a4f2b1d3e856402fc7b9e3
100,4,100,7c9a4f2b1d3e856402fc7b9e3
100,5,100,7c9a4f2b1d3e856402fc7b9e3
100,6,100,7c9a4f2b1d3e856402fc7b9e3
100,7,100,7c9a4f2b1d3e856402fc7b9e3
100,8,100,7c9a4f2b1d3e856402fc7b9e3
100,9,100,7c9a4f2b1d3e856402fc7b9e3
100,10,100,7c9a4f2b1d3e856402fc7b9e3
100,11,100,7c9a4f2b1d3e856402fc7b9e3
100,12,100,7c9a4f2b1d3e856402fc7b9e3
100,13,100,7c9a4f2b1d3e856402fc7b9e3
100,14,100,7c9a4f2b1d3e856402fc7b9e3
100,15,100,7c9a4f2b1d3e856402fc7b9e3
100,16,100,7c9a4f2b1d3e856402fc7b9e3
100,17,100,7c9a4f2b1d3e856402fc7b9e3
100,18,100,7c9a4f2b1d3e856402fc7b9e3
100,19,100,7c9a4f2b1d3e856402fc7b9e3
100,20,100,7c9a4f2b1d3e856402fc7b9e3
100,21,100,7c9a4f2b1d3e856402fc7b9e3
100,22,100,7c9a4f2b1d3e856402fc7b9e3
100,23,100,7c9a4f2b1d3e856402fc7b9e3
100,24,100,7c9a4f2b1d3e856402fc7b9e3
100,25,100,7c9a4f2b1d3e856402fc7b9e3
100,26,100,7c9a4f2b1d3e856402fc7b9e3
100,27,100,7c9a4f2b1d3e856402fc7b9e3
100,28,100,7c9a4f2b1d3e856402fc7b9e3
100,29,100,7c9a4f2b1d3e856402fc7b9e3
100,30,100,7c9a4f2b1d3e856402fc7b9e3
100,31,100,7c9a4f2b1d3e856402fc7b9e3
100,32,100,7c9a4f2b1d3e856402fc7b9e3
100,33,100,7c9a4f2b1d3e856402fc7b9e3
100,34,100,7c9a4f2b1d3e856402fc7b9e3
100,35,100,7c9a4f2b1d3e856402fc7b9e3
100,36,100,7c9a4f2b1d3e856402fc7b9e3
100,37,100,7c9a4f2b1d3e856402fc7b9e3
100,38,100,7c9a4f2b1d3e856402fc7b9e3
